author,author_id,profession
Alex The Analyst,1,Data Analyst
AssemblyAI,2,ML Engineer
Ayush Singh,3,CS Student
Coding Is Fun,4,Data Analyst
Daniel Bourke,5,ML Engineer
Data Professor,6,Data Scientist
Data with Zach,7,Data Engineer
JKim Analytics,8,Data Analyst
Jash Radia,9,Data Engineer
Josh Brindley,10,Data Instructor
Ken Jee,11,Data Scientist
Learn with Lukas,12,Data Analyst
Liam Ottley,13,AI Consultant
Luke Barousse,14,Data Analyst
Mısra Turp,15,Data Scientist
Mukul Rathi,16,Software Engineer
Nachiketa Hebbar,17,AI Engineer
Nicholas Renotte,18,Data Scientist
Olle Green,19,Data Scientist
Rob Mulla,20,Data Scientist
Seattle Data Guy,21,Data Engineer
Shashank Kalanithi,22,ML Engineer
Smitha Kolan - Machine Learning Engineer,23,ML Engineer
StatQuest with Josh Starmer,24,AI Educator
Steve Brunton,25,ML Professor
Sundas Khalid,26,Data Analyst
Thu Vu data analytics,27,Data Scientist
Tina Huang,28,Data Scientist
Underfitted,29,ML Engineer
giant_neural_network,30,AI Engineer
